lsoa11,r_dec,h_dec,e_dec,ahah_dec
W01001293,3,4,3,1
E01020083,1,10,2,7
E01020308,1,10,2,8
E01018976,5,8,5,6
E01019062,1,6,4,1
E01019983,6,4,2,1
E01019044,4,8,6,5
W01001630,7,3,6,3
W01001020,7,9,4,7
E01019002,3,10,4,8
W01000938,8,3,3,3
W01001155,5,7,4,3
E01019046,5,7,7,5
E01018858,8,4,4,4
E01018793,9,3,4,6
W01000806,6,7,4,3
W01000838,4,9,5,7
E01020210,4,9,4,5
W01001361,2,9,8,8
W01001562,2,10,3,6
E01020074,1,10,3,8
E01020240,1,8,1,2
E01015115,4,6,6,3
W01001278,7,6,9,9
W01001065,9,1,9,8
E01020075,1,10,2,7
E01020101,1,10,2,6
E01020080,3,9,2,5
E01020206,4,5,2,1
E01007311,8,2,7,6
E01020000,5,4,2,1
E01020262,2,10,1,5
W01000175,3,8,2,2
E01015090,3,5,4,1
E01015138,2,9,7,7
W01001251,2,7,7,5
E01007286,4,5,4,1
E01018532,8,4,5,4
W01000315,9,2,5,5
E01015106,6,3,8,5
W01001140,2,9,2,2
W01000545,1,10,2,9
E01020274,1,10,1,8
W01001037,7,6,6,4
W01000962,4,4,8,4
W01001709,9,3,8,9
E01007189,9,4,4,5
W01001532,6,6,7,4
W01000867,5,4,6,2
E01019888,4,5,3,1
W01000685,1,10,1,9
W01001871,6,6,10,9
W01001113,1,10,4,7
W01000062,9,6,2,6
W01000799,4,6,6,3
E01015198,3,3,2,1
E01029290,7,5,4,4
E01018987,2,10,2,8
E01015080,5,6,8,7
E01007202,10,3,2,7
W01001500,3,9,5,4
W01000579,1,10,1,9
W01001853,6,3,7,3
W01000756,3,9,4,5
W01001333,3,6,8,5
E01020037,7,2,3,1
W01001765,10,1,10,10
E01019101,2,9,2,5
E01015083,2,3,6,1
W01001622,4,4,6,2
E01007163,4,6,4,1
W01000300,2,9,3,4
W01000905,5,9,3,6
W01000129,5,9,1,5
W01000042,4,9,2,5
W01001126,6,5,10,9
E01007280,3,6,3,1
E01020248,3,7,3,2
E01020166,2,6,2,1
E01020294,1,6,2,1
W01001674,3,5,5,2
